trial_id,recall,alpha,topK
94,0.233372156,0.121634342,92
196,0.233372033,0.117056323,96
152,0.233368884,0.107838515,94
93,0.233368417,0.107674737,89
33,0.233365756,0.126738591,95
194,0.233365193,0.123931044,93
96,0.233358883,0.117095523,99
156,0.233358103,0.104674741,95
79,0.233356882,0.131536073,95
140,0.233352741,0.107356217,93
144,0.23335105,0.112132301,96
105,0.233346032,0.109255401,89
102,0.233345393,0.100667627,87
114,0.233342612,0.100636782,87
67,0.233341985,0.113356538,98
127,0.233339031,0.121014341,96
175,0.233337645,0.112312816,89
187,0.233331818,0.134882249,95
191,0.233329134,0.128916965,97
40,0.233328654,0.100241555,87
106,0.233328612,0.113222633,97
180,0.233324308,0.103728651,93
36,0.233324132,0.103922986,94
20,0.233320385,0.135876681,93
124,0.233319292,0.114144104,97
169,0.233318355,0.103634166,93
111,0.2333181,0.103615828,93
188,0.233316649,0.124818088,96
150,0.233305085,0.110788894,99
41,0.233290066,0.102441742,87
31,0.233289882,0.144305985,95
138,0.233283921,0.115897653,100
115,0.233282413,0.10004007,85
130,0.233277963,0.124153879,98
109,0.233274086,0.100612072,95
153,0.233273495,0.112541892,88
77,0.233260637,0.111624001,88
179,0.23325071,0.110251685,88
90,0.233250447,0.102691484,96
13,0.23324764,0.143951333,97
19,0.233243925,0.149167419,97
55,0.233241266,0.100357456,84
52,0.233240088,0.108864935,88
98,0.233238828,0.109770841,101
65,0.233211122,0.105220249,103
100,0.233203993,0.106801917,85
21,0.23318923,0.143991562,93
25,0.233188373,0.132897691,91
87,0.233171966,0.103921214,83
58,0.233170534,0.111543381,86
84,0.233166518,0.109716379,86
63,0.233166228,0.105016791,85
104,0.233164933,0.105348632,83
22,0.233147556,0.136352229,91
160,0.233135543,0.11714333,87
95,0.23312899,0.126868923,87
26,0.233105999,0.18008784,97
48,0.233092441,0.108071245,84
32,0.233076183,0.149083805,101
42,0.233071746,0.108888995,83
23,0.233039187,0.184938847,99
11,0.233034518,0.1635664,102
34,0.233029794,0.127365032,86
37,0.233023902,0.104424252,104
5,0.232988797,0.124223436,84
10,0.23295205,0.167809848,105
64,0.232943092,0.115713354,82
75,0.232933675,0.123405732,85
7,0.232888475,0.122703499,83
17,0.232883756,0.140633425,108
76,0.232877818,0.104773945,80
46,0.232872285,0.116305427,81
1,0.232864822,0.101703578,106
73,0.232857339,0.100796812,106
30,0.232856535,0.219164715,110
28,0.232833787,0.152337694,88
6,0.232823675,0.151921585,90
12,0.232808603,0.206323255,99
53,0.232785591,0.12242604,81
2,0.232785384,0.118089898,81
99,0.232737233,0.174337504,91
35,0.232703429,0.116341499,79
24,0.232687284,0.154895305,112
89,0.232681506,0.160349972,90
171,0.232659899,0.115531807,109
49,0.232647124,0.113984093,76
43,0.232621485,0.12001493,78
60,0.232611036,0.120096657,76
15,0.2326066,0.198971856,113
27,0.232563783,0.12934652,78
110,0.232381285,0.192278223,86
0,0.232342305,0.11784032,75
158,0.232190372,0.214054048,91
16,0.232174263,0.233611107,96
9,0.232165059,0.112901286,73
3,0.232137173,0.19816617,84
29,0.232014537,0.111465263,71
149,0.232008862,0.275339584,97
57,0.231919101,0.293189805,100
86,0.231789785,0.106284731,116
14,0.231710619,0.140919543,118
8,0.231528289,0.293311889,128
185,0.231243836,0.129198848,121
4,0.231032733,0.106129827,123
69,0.229840235,0.106456792,130
80,0.229837539,0.244507838,74
18,0.229578776,0.166835905,138
178,0.22938407,0.11483524,133
134,0.228380254,0.114327445,140
