trial_id,recall,num_factors,scaling_items,scaling_users
55,0.21296888381201753,158,0.0067861940260223585,0.590981219250821
56,0.2022660093833951,221,0.008716952596972749,0.5103468718422535
57,0.21355504601849135,89,0.009544162120481129,0.4011586227945978
58,0.18026704165603658,84,0.1579174496298454,0.36967765595896457
59,0.19655105664863398,35,0.11194908904317875,0.39176235235208445
60,0.2101972044110135,136,0.028516651474195347,0.6420040495749765
61,0.20475052608104982,162,0.010041270724721378,0.41010677162077563
62,0.21299552400468807,80,0.019809329046395555,0.5965974844853984
63,0.2086820669869212,83,0.019608147299594196,0.33500507600117424
64,0.20888883985278267,49,0.041452477601282345,0.47050138450381856
65,0.19961193475994546,100,0.08528278802995215,0.6020648804081847
66,0.2160187849202037,74,0.006038527000973519,0.5281956698193783
67,0.21160306200597406,142,0.006286562495967452,0.47265978678568954
68,0.2144180891434942,102,0.014114967070157351,0.5215392154804294
69,0.21112787555120288,69,0.02832271257066474,0.42615130150612646
70,0.21380783368568448,107,0.014800252877436594,0.5268358222853877
71,0.21507865985289878,100,0.013794132449669382,0.5657911330252023
72,0.21503946812530908,94,0.014655372643045693,0.5268658490573247
73,0.19410350834179385,44,0.13122392282238754,0.5311037778888499
74,0.21346101392485242,110,0.015301964274620387,0.49294368533033484
75,0.171235849992669,129,0.19898026009231146,0.5631621622166375
76,0.2135988519510615,68,0.02236505185034231,0.5192723020112064
77,0.21508681914526157,101,0.013684597306000744,0.5709064542088861
78,0.210931907524576,102,0.030522176431866714,0.5435888008210857
79,0.2089642681187752,56,0.04119429347185477,0.5699401670714485
80,0.17926705656887992,78,0.1846971835096219,0.5239120162849862
81,0.2116133974998066,125,0.015398708273342053,0.4852166572347557
82,0.18133670591610476,14,0.006112956932611187,0.5527525526684662
83,0.21566274100109015,106,0.01147304962952339,0.5737006340267773
84,0.2135312877639049,92,0.023100536708874426,0.5692619283787407
85,0.21352811635440636,111,0.011590319138491971,0.49628719416423495
86,0.21107495181781064,147,0.013468724170641641,0.5339162161861397
87,0.21301677336455013,124,0.01854237046905877,0.6089059924827241
88,0.21073415545535945,103,0.03086184211706872,0.5165798036505651
89,0.1930918094479101,26,0.005232244744641298,0.5846389048511264
90,0.21036863557250177,70,0.038395256520563525,0.47548176424507094
91,0.21520550201482883,149,0.0005865667105594124,0.6310175221447974
92,0.21418214230127774,139,0.0058453013599504885,0.544740840929066
93,0.21477450988640934,142,0.004730985728821581,0.6620830746710687
94,0.21470691136529632,151,0.0029414169436072913,0.6708683206583059
95,0.2143110673124001,151,0.002956428538963928,0.6919776183696796
96,0.2084741026207249,172,0.024431642965758248,0.6590856730935635
97,0.2119646946294002,166,0.011784999166031495,0.6320631512816447
98,0.21639579063476927,119,0.00043117726437338563,0.6427563611007505
99,0.21151174933361688,204,0.003572186411989535,0.6692297813593191
